Product Name,Price,Quantity Available,Specifications
Կոնքամանի մեխանիզմ ANI PLAST WC6050M,3450,5,Չափսեր` - 231*135*51 մմ.
Տրապ ուղիղ ունիվերսալ ANI PLAST TQ5612,6700,1,Չափսեր` - 145*180*148 մմ.
Տրապ ուղիղ ունիվերսալ ANI PLAST TQ1712,6800,2,Չափսեր` - 230*220*220 մմ.
Վաննայի սիֆոն տռոսով ANI PLAST EC255,7950,2,Չափսեր` - 565*705*81 մմ.
Պադոնի սիֆոն ANI PLAST E615,2550,3,Չափսեր` - 350*95*92 մմ.
Սիֆոն ANI PLAST A2015,2600,3,Չափսեր` - 245*183*86 մմ.
Պադոնի սիֆոն կալենա ANI PLAST E100,1200,3,Չափսեր` - 216*116*66 մմ.
Գոֆռե ANI PLAST K214,1450,3,Չափսեր` - 495*45*45
Սիֆոն 2 տեղ ANI PLAST A3545,17500,2,Չափսեր` - 595*680*115 մմ.
Տրապ ուղիղ ANI PLAST TA1210,2800,4,Չափսեր` - 150*150*148 մմ.
Տրապ թեք պլասմասե ANI PLAST TA1110,2250,4,Չափսեր` - 152*200*148 մմ.
Ատվոդ լվացքի մեքենայի տեղով ANI PLAST M110,850,3,Չափսեր` - 131*120*66 մմ.
Սիֆոն 2 տեղ ANI PLAST A3000,3500,3,Չափսեր` - 360*600*86 մմ.
Զուգարանակոնքի գոֆրե անցում ANI PLAST K728R,4150,2,Չափսեր` - 340*142*142 մմ.
Պռագլատկա ANI PLAST M022,130,28,Չափսեր` - Ø 45х2 մմ.
Պռագլատկա ANI PLAST M020,150,33,Չափսեր` - Ø 38х2 մմ
Սիֆոն գոֆռե ANI PLAST BM1315,2700,3,Չափսեր` - 220*480*70 մմ.
Սիֆոն 2 տեղ մեծ գլխով ANI PLAST A7500,16500,1,Չափսեր` - 520*400*92 մմ.
Սիֆոն գոֆռե ANI PLAST G217,2250,3,
Սիֆոն գոֆռե ANI PLAST G204,2000,4,Չափսեր` - 345*70*70 մմ.
Սիֆոն գոֆռե ANI PLAST G104,2200,3,Չափսեր` - 350*75*75 մմ.
Կոնքամանի քաշիչ ANI PLAST WC7030M,2500,4,Չափսեր` - 350*115*105 մմ.
Գոֆռե ANI PLAST K116,1350,7,Չափսեր` - 541*67*67 մմ.
Սիֆոն 2 տեղ սլիվով ANI PLAST A3500,4200,3,Չափսեր` - 400*600*86 մմ.
Կոնքամանի գոֆռե ANI PLAST K821R,3100,1,Չափսեր` - 200*133*133 մմ.
Կոնքամանի քաշիչ ANI PLAST WC7010C,5900,4,
Սիֆոն 1տեղ ANI PLAST A1115,2700,5,Չափսեր` - 440*305*230 մմ.
Պապլավոկ տակից ANI PLAST WC5550,1300,6,Չափսեր` - 290*80*50 մմ.
Պապլավոկ կողքից ANI PLAST WC5050,1200,6,Չափսեր` - 230*135*55 մմ.
Տրապ ուղիղ ANI PLAST TA5204,1900,4,Չափսեր` - 100*105*105 մմ.
Տրապ թեք ANI PLAST TA5104,800,3,Չափսեր` - 85*152*105 մմ.
Տրապ ուղիղ ANI PLAST TA5202,3100,2,Չափսեր` - 100*105*105 մմ.
Տրապ թեք ANI PLAST TA5102,2850,4,Չափսեր` - 85*152*105 մմ.
Տրապ թեք ANI PLAST TA5112,3990,2,Չափսեր` - 85*152*105 մմ.
Կոնքամանի մեխանիզմ ANI PLAST WC4550M,2850,2,Չափսեր` - 290*80*50 մմ.
Կոնքամանի մեխանիզմ ANI PLAST WC4050M,3850,2,Չափսեր` - 231*135*51 մմ.
Պապլավոկ տակից ANI PLAST WC5510,2550,3,Չափսեր` - 265*85*55 մմ.
Տրապ ուղիղ ANI PLAST TA5212,5300,6,Չափսեր` - 100*150*148 մմ.
Տրապ թեք ANI PLAST TA1112,4800,3,Չափսեր` - 152*200*148 մմ.
Կոնքամանի մուշտուկ 45° ANI PLAST W4220,2450,2,Չափսեր` - 144*221*142 մմ.
Կոնքամանի մուշտուկ 90° ANI PLAST W9220,2800,4,Չափսեր` - 144*221*142 մմ.
Ատվոդ ուղիղ ANI PLAST W1218,1750,3,Չափսեր` - 141*141*125 մմ
Ատվոդ 45° ANI PLAST W4228,2400,2,Չափսեր` - 145*179*141 մմ
Կոնքամանի էքսցենտրիկ մանժետ ANI PLAST W0410,1350,3,Չափսեր` - 124*141*168 մմ
