Product Name,Price,Quantity Available,Specifications
Մետր 8մ -25մմ KRAFTOOL 3412-8-25,7300,1,"Երկարություն` - 8 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո, Երկկողմանի նշագծված ժապավեն` - Այո"
Մետր 15մ -25մմ KRAFTOOL 3412-5-25,5000,18,"Երկարություն` - 5 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո, Երկկողմանի նշագծված ժապավեն` - Այո"
Լազերային հարթաչափ եռանկյուն սալիկների համար KRAFTOOL SQUARE-15 34705,32800,2,"Չափման միջակայք` - 15 մ., Ճշգրտություն` - +- 0,3 մմ/մ․, Լազերի գծանշման դիրք` - խաչաձև 90°, անկյունային 90°, Հարթեցման չափիչ կոլբա` - 2 հատ, Եռոտանու տեղադրման ամրակալ` - 1/4՛՛, Պատին ամրացում` - առկա է, Մարտկոց` - ստանդարտ 3AA, Բրենդ` - KRAFTOOL, Քաշ` - 200 գ․"
Լազերային հարթաչափի բռնակ KRAFTOOL 34704,7200,2,"Սարքի տեղադրման ամրակալ` - 1/4"", Հումք` - պլաստիկ"
Մետր 10մ -25մմ KRAFTOOL 34122-10,6000,21,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո"
Ինդիկատոր էլեկտրոնային OP-2E TPR20 IEK 2716,2800,1,"Դիմադրության ցուցում` - օպտիկական, Ցանցի հաճախականություն` - 50 - 500 Հց, Դիմադրության միջակայքի փորձարկում` - 0 - 100000 կՕմ, Միաֆազ ցուցում` - այո, Ոչ կոնտակտային լարման դետեկտոր` - այո, Տվյալների պահպանում` - ոչ, Աշխատանքային ջերմաստիճան` - -10-ից 50 °C, Լարման միջակայք` - 70 - 250/70 - 1000 Վ, Փորձարկման տեսակ` - 1-բևեռ"
Քանոն 60 սմ YATO YT-7071,3100,3,Երկարություն` - 600 մմ․
Ձողակարկին 0-200 մմ BERENT BT4056,9900,2,Չափման միջակայք` - 0 - 200 մմ
Քանոն եռանկյունի պլասմասից 180մմ VOREL 18530,700,7,"Երկարություն` - 180 մմ․, Անկյան չափման միջակայք` - 45 | 90 ˚"
Տրանսպարտյոր 1200x600 մմ VOREL 18375,7800,1,"Չափսեր` - 1200 x 600 մմ, Անկյան չափման միջակայք` - 30 | 45 | 60 | 75 | 90 ˚"
