Product Name,Price,Quantity Available,Specifications
Դյուբել չապաի 5*25,5,1736,"Տրամագիծ` - 5 մմ․, Երկարություն` - 25 մմ․"
Դյուբել չապաի 12*60,17,2801,"Տրամագիծ` - 12 մմ․, Երկարություն` - 60 մմ․"
Դյուբել չապաի 12*70,19,2736,"Տրամագիծ` - 12 մմ․, Երկարություն` - 70 մմ․"
Դյուբել չապաի 10*100,16,4797,"Տրամագիծ` - 10 մմ․, Երկարություն` - 100 մմ․"
Դյուբել չապաի 12*120,25,3144,"Տրամագիծ` - 12 մմ․, Երկարություն` - 120 մմ․"
Շպլինտի հավաքածու ֆիկսատրով 150կտ YATO YT-06883,2300,1,"Չափս և քանակ` - 2x33մմ x30, 2x40մմ x25, 2.4x31մմ x42, 2.8x42մմ x25, 3.5x45մմ x20, 4x75մմ x8, Ընդհանուր քանակ` - 150 հատ"
Մանեկ (գայկա) թևավոր հավաքածու 150կտ YATO YT-06776,3500,2,"Չափսեր` - M4 x40, M5 x40, M6 x25, M8 x25, M10 x20, Ընդհանուր քանակ` - 150 հատ"
Մանեկ (գայկա) փակ հավաքածու 150կտ-4.5.6.8.10 YATO YT-06775,2700,1,"Չափս և քանակ` - M3 x30, M4 x30, M5 x30, M6 x30, M8 x20, M10 x10, Ընդհանուր քանակ` - 150 հատ"
Դյուբել YOJIK ZUBR 4-301060-06-040,5,2920,"Տրամագիծ` - 6 մմ․, Երկարություն` - 40 մմ․"
Մեխ վենգե ZUBR 305370-16-35,5000,4.935,"Տրամագիծ` - 1,6 մմ․, Երկարություն` - 35 մմ․"
Մեխ լատուն ZUBR 305330-16-35,4500,0.015,
Դյուբել YOJIK ZUBR 4-301060-06-060,6,5811,"Տրամագիծ` - 6 մմ․, Երկարություն` - 60 մմ․"
Դյուբել YOJIK ZUBR 4-301060-08-060,7,1597,"Տրամագիծ` - 8 մմ․, Երկարություն` - 60 մմ․"
Դյուբել YOJIK ZUBR 4-301060-08-080,10,1013,"Տրամագիծ` - 8 մմ․, Երկարություն` - 80 մմ․"
Դյուբել YOJIK ZUBR 4-301060-10-060,8,1569,"Տրամագիծ` - 10 մմ., Երկարություն` - 60 մմ․"
Դյուբել YOJIK ZUBR 4-301060-10-100,15,1476,"Տրամագիծ` - 10 մմ., Երկարություն` - 100 մմ."
Դյուբել գիպսաստվարաթղթի (բաբչկա) ZUBR 4-301325,30,685,"Տրամագիծ` - 10 մմ., Երկարություն` - 50 մմ․"
Պտուտակ 6x50 մմ PATTA /H/,16,5956,"Տրամագիծ` - 6 մմ․, Երկարություն` - 50 մմ․"
Պտուտակ 6x200 մմ,70,2174,"Տրամագիծ` - 6 մմ․, Երկարություն` - 200 մմ."
Պտուտակ 6x150 մմ,40,3571,"Տրամագիծ` - 6 մմ․, Երկարություն` - 150 մմ․"
Պտուտակ 6x120 մմ,30,6347,"Տրամագիծ` - 6 մմ․, Երկարություն` - 120 մմ․"
Պտուտակ 6*80 մմ,22,4726,"Տրամագիծ` - 6 մմ․, Երկարություն` - 80 մմ․"
Պտուտակ 6*70 մմ,18,4545,"Տրամագիծ` - 6 մմ․, Երկարություն` - 70 մմ․"
Պտուտակ 6*60 մմ PATTA /H/,18,3493,"Տրամագիծ` - 6 մմ․, Երկարություն` - 60 մմ․"
Պտուտակ 6*40 մմ,14,6976,"Տրամագիծ` - 6 մմ․, Երկարություն` - 40 մմ․"
Պտուտակ 6*100 մմ PATTA /H/,27,5210,"Տրամագիծ` - 6 մմ․, Երկարություն` - 100 մմ."
Պտուտակ 6*90 մմ,28,2590,"Տրամագիծ` - 6 մմ․, Երկարություն` - 90 մմ․"
Պտուտակ 5*35 մմ,9,2996,"Տրամագիծ` - 5 մմ., Երկարություն` - 35 մմ․"
Պտուտակ 5*30 մմ,7,5852,"Տրամագիծ` - 5 մմ., Երկարություն` - 30 մմ."
Պտուտակ 5*20 մմ,6,3601,"Տրամագիծ` - 5 մմ., Երկարություն` - 20 մմ."
Պտուտակ 5*90 մմ,20,4236,"Տրամագիծ` - 5 մմ., Երկարություն` - 90 մմ․"
Պտուտակ 5*80 մմ,15,7000,"Տրամագիծ` - 5 մմ., Երկարություն` - 80 մմ․"
Պտուտակ 5*70 մմ,13,7747,"Տրամագիծ` - 5 մմ., Երկարություն` - 70 մմ․"
Պտուտակ 5*60 մմ PATTA /H/,11,6835,"Տրամագիծ` - 5 մմ., Երկարություն` - 60 մմ․"
Պտուտակ 5*50 մմ,9,7104,"Տրամագիծ` - 5 մմ., Երկարություն` - 50 մմ․"
Պտուտակ 5*40 մմ PATTA /H/,8,2447,"Տրամագիծ` - 5 մմ., Երկարություն` - 40 մմ․"
Պտուտակ 5*25 մմ,7,4321,"Տրամագիծ` - 5 մմ., Երկարություն` - 25 մմ․"
Պտուտակ 5*100 մմ,20,4756,"Տրամագիծ` - 5 մմ., Երկարություն` - 100 մմ."
Պտուտակ 4*70 մմ,13,3372,"Տրամագիծ` - 4 մմ., Երկարություն` - 70 մմ․"
Պտուտակ 4*45 մմ,6,5690,"Տրամագիծ` - 4 մմ., Երկարություն` - 45 մմ․"
Պտուտակ 4*25 մմ,5,3339,"Տրամագիծ` - 4 մմ., Երկարություն` - 25 մմ․"
Պտուտակ 4*18 մմ PATTA,5,2423,"Տրամագիծ` - 4 մմ., Երկարություն` - 18 մմ."
Պտուտակ 4*60 մմ,7,8163,"Տրամագիծ` - 4 մմ., Երկարություն` - 60 մմ․"
Պտուտակ 4*50 մմ,7,4633,"Տրամագիծ` - 4 մմ., Երկարություն` - 50 մմ․"
Պտուտակ 4*40 մմ PATTA,7,4704,"Տրամագիծ` - 4 մմ., Երկարություն` - 40 մմ․"
Պտուտակ 4*35 մմ PATTA,5,6637,"Տրամագիծ` - 4 մմ., Երկարություն` - 35 մմ․"
Պտուտակ 4*30 մմ,6,7623,"Տրամագիծ` - 4 մմ., Երկարություն` - 30 մմ."
Պտուտակ 4*20 մմ,5,7030,"Տրամագիծ` - 4 մմ., Երկարություն` - 20 մմ."
Պտուտակ 4*16 մմ PATTA /H/,5,2915,"Տրամագիծ` - 4 մմ., Երկարություն` - 16 մմ․"
Պտուտակ 3.5*35 մմ,5,4724,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 35 մմ․"
Պտուտակ 3.5*40 մմ,5,3993,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 40 մմ․"
Պտուտակ 3*40 մմ,5,3467,"Տրամագիծ` - 3 մմ., Երկարություն` - 40 մմ․"
Պտուտակ 3*30 մմ,5,6026,"Տրամագիծ` - 3 մմ., Երկարություն` - 30 մմ."
Պտուտակ 3*25 մմ,4,3518,"Տրամագիծ` - 3 մմ., Երկարություն` - 25 մմ․"
Պտուտակ 3*20 մմ,4,6010,"Տրամագիծ` - 3 մմ., Երկարություն` - 20 մմ."
Պտուտակ 3.5*30 մմ,5,4702,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 30 մմ."
Պտուտակ 3.5*20 մմ,4,5306,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 20 մմ."
Պտուտակ 3.5*18 մմ,5,3575,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 18 մմ."
Պտուտակ 3*13 մմ,5,7305,"Տրամագիծ` - 3 մմ., Երկարություն` - 13 մմ."
Պտուտակ 3*16 մմ,4,8425,"Տրամագիծ` - 3 մմ., Երկարություն` - 16 մմ․"
Պտուտակ 3.5*16 մմ PATTA,4,5277,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 16 մմ․"
Պտուտակ 3.5 *50 մմ,5,4902,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 50 մմ․"
"Պտուտակ 3,5*25 մմ",5,3213,"Տրամագիծ` - 3,5 մմ․, Երկարություն` - 25 մմ․"
Հեղույս (վինտ) խցափակչի հավաքածու 160կտ YATO YT-06777,2650,2,
Մեխ բետոնի 100մմ,1500,35.16,Երկարություն` - 100մմ
Մեխ ցինկապատ 1․8մմ-3սմ ZUBR 305310-18-030,3400,5.617,"Տրամագիծ` - 1,8 մմ․, Երկարություն` - 30 մմ."
